Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
Oriental Watch Holdings Limited (SEHK:398),IQ878032,2008,,,,,,40.6,40.6,24,279,47.4,206,7.07,0.015
OSIM International Ltd (SGX:O23),IQ6468903,2008,17,4.32,-5.16,-5.81,-6.17,26,28.9,29.5,213.5,63.5,75.8,8.4,0
Ossia International Limited (SGX:O08),IQ7653048,2008,14772.4,893,1414.1,449.8,149.9,8.19,11,9.58,102.6,3.86,58.2,5.15,0.009
Otto Marine Limited (SGX:BER),IQ48680529,2008,,,,,,120.5,122.7,149.2,978.4,399.3,219,56.4,0
OUE Commercial Real Estate Investment Trust (SGX:TS0U),IQ251891339,2008,,,,,,,,,,,,,
OUE Hospitality Trust (SGX:SK7),IQ242700040,2008,,,,,,,,,,,,,
OUE Limited (SGX:LJ3),IQ874395,2008,53.2,32.7,26.5,22.7,22.9,182.8,183.9,219.7,2876.3,564.9,2127.6,5.2,0.012
Ouhua Energy Holdings Limited (SGX:AJ2),IQ29383405,2008,113.5,31.7,5.2,-0.377,-5.44,45.1,47.2,42.9,176.7,57.3,75.1,0.49,0
Ourgame International Holdings Limited (SEHK:6899),IQ266320164,2008,,,,,,,,,,,,,
Oversea-Chinese Banking Corporation Limited (SGX:O39),IQ1213993,2008,,,,,,4694.7,26755.3,1665.5,181385.2,13685,18559.7,262.2,0.28
Overseas Chinese Town Asia Holdings Limited (SEHK:3366),IQ13011210,2008,113.5,49.1,29.7,28.1,41.2,26.9,26.9,47.5,195.1,36.4,113.3,9.84,0.004
Overseas Education Limited (SGX:RQ1),IQ225652609,2008,,,,,,,,,,,,,
Oxley Holdings Limited (SGX:5UX),IQ114977291,2008,273.4,87.2,35.6,32,34.4,0,0,0,1.1,0,1.1,,0
Ozner Water International Holding Limited (SEHK:2014),IQ265464822,2008,238.8,45.7,21.9,7.83,16.8,,,,,,,,
P99 Holdings Limited (Catalist:5UV),IQ12786572,2008,395.9,259.2,149.1,132.3,109.9,0.287,0.287,11.5,31.7,10.6,16.9,0.224,0
Pa Shun Pharmaceutical International Holdings Limited (SEHK:574),IQ268018262,2008,26.3,-0.238,-9.17,-9.7,-41.3,,,,,,,,
PACC Offshore Services Holdings Ltd. (SGX:U6C),IQ49857869,2008,-83.4,-83.4,0,0,-148.2,,,,,,,,
